Symbol,Sector,Marketcap,Revenuegrowth,PE,PEG,Longname
MMM,Industrials,79683076096.0,-0.01,18.438356,,3M Company
AOS,Industrials,9470853120.0,-0.015,18.615921,,A. O. Smith Corporation
ABT,Healthcare,227571073024.0,0.04,16.964981,,Abbott Laboratories
ABBV,Healthcare,321838088192.0,0.084,77.86325,,AbbVie Inc.
ACN,Technology,194361409536.0,0.054,25.61622,,Accenture plc
ADBE,Technology,174788870144.0,0.103,27.123676,,Adobe Inc.
AMD,Technology,177219026944.0,0.359,79.78102,,"Advanced Micro Devices, Inc."
AES,Utilities,6823781888.0,-0.052,5.209239,,The AES Corporation
AFL,Financial Services,55221477376.0,-0.375,15.884914,,Aflac Incorporated
A,Healthcare,30631467008.0,0.014,24.585814,,"Agilent Technologies, Inc."
APD,Basic Materials,59542757376.0,-0.005,38.497124,,"Air Products and Chemicals, Inc."
ABNB,Consumer Cyclical,78114471936.0,0.061,32.121826,,"Airbnb, Inc."
AKAM,Technology,10842345472.0,0.029,25.561846,,"Akamai Technologies, Inc."
ALB,Basic Materials,6742563840.0,-0.209,,,Albemarle Corporation
ARE,Real Estate,11758823424.0,-0.015,89.44,,"Alexandria Real Estate Equities, Inc."
ALGN,Healthcare,12312631296.0,-0.018,30.828493,,"Align Technology, Inc."
ALLE,Industrials,12106705920.0,0.054,19.760534,,Allegion plc
LNT,Utilities,15633473536.0,0.094,20.986206,,Alliant Energy Corporation
ALL,Financial Services,53816315904.0,0.078,13.881147,,The Allstate Corporation
GOOGL,Communication Services,2057920053248.0,0.12,18.893297,,Alphabet Inc.
GOOG,Communication Services,2060062949376.0,0.12,19.01451,,Alphabet Inc.
MO,Consumer Defensive,99921068032.0,-0.042,9.95297,,"Altria Group, Inc."
AMZN,Consumer Cyclical,2130339823616.0,0.086,32.73491,,"Amazon.com, Inc."
AMCR,Consumer Cyclical,20291647488.0,-0.023,15.813928,,Amcor plc
AEE,Utilities,25793187840.0,0.156,21.095009,,Ameren Corporation
AEP,Utilities,54113955840.0,0.087,19.555986,,"American Electric Power Company, Inc."
AXP,Financial Services,199457701888.0,0.088,19.867413,,American Express Company
AIG,Financial Services,46965129216.0,0.003,19.87561,,"American International Group, Inc."
AMT,Real Estate,98870738944.0,0.02,34.17476,,American Tower Corporation
AWK,Utilities,27611768832.0,0.13,25.790548,,"American Water Works Company, Inc."
AMP,Financial Services,48014143488.0,0.036,17.133198,,"Ameriprise Financial, Inc."
AME,Industrials,40957935616.0,-0.002,29.034369,,"AMETEK, Inc."
AMGN,Healthcare,145634983936.0,0.094,24.712135,,Amgen Inc.
APH,Technology,103148642304.0,0.477,41.395634,,Amphenol Corporation
ADI,Technology,103807639552.0,0.223,56.6897,,"Analog Devices, Inc."
ANSS,Technology,30051041280.0,0.082,50.714394,,"ANSYS, Inc."
AON,Financial Services,76455714816.0,0.162,30.57513,,Aon plc
APA,Energy,5982810112.0,0.344,5.942652,,APA Corporation
APO,Financial Services,74905722880.0,-0.215,22.874348,,"Apollo Global Management, Inc."
AAPL,Technology,2927416836096.0,0.051,30.529594,,Apple Inc.
AMAT,Technology,127166357504.0,0.068,19.041824,,"Applied Materials, Inc."
APTV,Consumer Cyclical,14291796992.0,-0.016,10.725491,,Aptiv PLC
ACGL,Financial Services,34511187968.0,0.186,9.4451275,,Arch Capital Group Ltd.
ADM,Consumer Defensive,22761318400.0,-0.077,16.68134,,Archer-Daniels-Midland Company
ANET,Technology,114464546816.0,0.276,38.455696,,Arista Networks Inc
AJG,Financial Services,86401236992.0,0.101,52.15379,,Arthur J. Gallagher & Co.
